year,month,rec_visits
1979,1,23605
1979,2,31992
1979,3,17813
1979,4,34095
1979,5,108952
1979,6,313924
1979,7,493902
1979,8,493915
1979,9,262786
1979,10,76542
1979,11,12698
1979,12,22684
1980,1,24757
1980,2,36373
1980,3,28112
1980,4,32466
1980,5,101988
1980,6,325211
1980,7,557810
1980,8,523549
1980,9,229396
1980,10,93240
1980,11,25773
1980,12,21594
1981,1,24924
1981,2,28590
1981,3,19305
1981,4,21342
1981,5,158762
1981,6,421817
1981,7,701758
1981,8,651977
1981,9,346906
1981,10,91385
1981,11,30202
1981,12,24863
1982,1,22523
1982,2,32204
1982,3,25325
1982,4,28584
1982,5,148257
1982,6,413052
1982,7,688061
1982,8,626834
1982,9,281287
1982,10,74181
1982,11,16673
1982,12,11916
1983,1,18329
1983,2,25647
1983,3,15671
1983,4,17935
1983,5,123437
1983,6,396890
1983,7,704745
1983,8,604247
1983,9,314919
1983,10,103385
1983,11,11955
1983,12,10082
1984,1,18864
1984,2,30067
1984,3,11372
1984,4,18303
1984,5,127555
1984,6,379837
1984,7,667307
1984,8,586631
1984,9,287141
1984,10,76118
1984,11,2273
1984,12,16559
1985,1,20919
1985,2,30590
1985,3,9611
1985,4,21994
1985,5,159597
1985,6,401168
1985,7,648994
1985,8,572352
1985,9,261850
1985,10,72944
1985,11,6726
1985,12,19414
1986,1,24708
1986,2,29684
1986,3,20165
1986,4,21681
1986,5,147767
1986,6,427968
1986,7,663205
1986,8,614295
1986,9,295089
1986,10,94106
1986,11,6414
1986,12,18674
1987,1,27238
1987,2,32559
1987,3,12310
1987,4,31938
1987,5,185705
1987,6,447465
1987,7,685128
1987,8,626537
1987,9,361842
1987,10,122637
1987,11,19842
1987,12,19993
1988,1,25706
1988,2,35936
1988,3,18470
1988,4,22999
1988,5,175285
1988,6,442400
1988,7,636295
1988,8,440130
1988,9,176833
1988,10,170504
1988,11,18510
1988,12,19045
1989,1,24328
1989,2,30768
1989,3,22163
1989,4,25292
1989,5,216163
1989,6,467193
1989,7,696587
1989,8,608248
1989,9,403579
1989,10,123454
1989,11,6791
1989,12,19876
1990,1,25884
1990,2,33285
1990,3,19372
1990,4,29242
1990,5,203712
1990,6,526586
1990,7,760520
1990,8,674454
1990,9,414563
1990,10,111145
1990,11,8117
1990,12,16692
1991,1,28851
1991,2,38050
1991,3,19946
1991,4,19875
1991,5,188798
1991,6,499107
1991,7,796656
1991,8,721103
1991,9,432948
1991,10,144944
1991,11,6261
1991,12,23998
1992,1,33552
1992,2,40245
1992,3,19615
1992,4,51933
1992,5,257951
1992,6,539959
1992,7,799411
1992,8,742879
1992,9,462788
1992,10,159842
1992,11,8646
1992,12,27584
1993,1,38100
1993,2,44049
1993,3,31768
1993,4,24013
1993,5,191222
1993,6,525378
1993,7,768164
1993,8,714408
1993,9,401124
1993,10,125107
1993,11,18899
1993,12,29961
1994,1,40757
1994,2,44946
1994,3,27859
1994,4,36280
1994,5,233737
1994,6,541704
1994,7,831152
1994,8,731012
1994,9,414848
1994,10,106646
1994,11,7953
1994,12,29251
1995,1,40868
1995,2,48034
1995,3,21157
1995,4,26147
1995,5,201797
1995,6,550978
1995,7,847003
1995,8,773307
1995,9,468062
1995,10,128483
1995,11,11635
1995,12,7814
1996,1,32871
1996,2,51692
1996,3,27162
1996,4,24321
1996,5,187045
1996,6,539368
